,Publication Type,Authors,Article Title,Document Type,Author Keywords,Keywords Plus,Abstract,Publication Date,Publication Year,DOI,DOI Link
14,J,"Dunant, CF; Skelton, ACH; Drewniok, MP; Cullen, JM; Allwood, JM",A marginal abatement cost curve for material efficiency accounting for uncertainty,Article,MACC; Material efficiency; Policy guidance,STEEL; REUSE,"Comparing costs of measures to mitigate greenhouse gas is challenging as there are many competing notions of costs, and uncertainties associated with cost estimates. In addition, there are many different types of mitigation measures, from supply-side investment solutions to demand-side efficiency improvements, which may interact, risking double-counting of abatement potentials. This paper presents a novel, transparent methodology for building a marginal abatement cost curve that allows abatement costs and potentials to be compared. This curve improves over existing methods as it allows for abatement measures to be pursued in parallel, takes into account the interplay between abatement measures and captures data on cost uncertainty. The method is applied to build the first bottom-up marginal abatement cost curve for greater material efficiency steel use in the UK. This curve is demonstrated via four material efficiency measures which do not require large changes in final uses of products: reusing steel beams in construction, specifying optimal lightweight beams in construction, choosing smaller cars and specifying high strength steel car bodies. The results show that these strategies could reduce UK steel demand and associated global emissions by approximately 12%. 17% of this potential would be viable at the Department for Business, Energy & Industrial Strategy (BEIS) 2030 carbon price for policy appraisal (79 pound/ t CO2) taking into account emissions savings associated with steel demand only. Once use-phase emissions savings are taken into account this share increases to 60%. These results can be traced directly back to underlying assumptions regarding costs and emissions allocations.",MAY,2019.0,10.1016/j.resconrec.2019.01.020,0.0
6,J,"Rakhshan, K; Morel, JC; Daneshkhah, A",A probabilistic predictive model for assessing the economic reusability of load-bearing building components: Developing a Circular Economy framework,Article,Economic reusability; Building structure; Supervised machine learning; Random forest; K-nearest neighbors; Gaussian process regression,STRUCTURAL-STEEL REUSE; BAYESIAN NETWORKS; DEMOLITION; COST,"The reuse of load-bearing building components has the potential to promote the circular economy in the building sector. One recent aspect of the efforts to improve reuse rates in buildings is estimating the reusability of the structural elements. This study develops a probabilistic predictive model using advanced supervised machine learning methods to evaluate the economic reusability of the load-bearing building elements. The results of sensitivity analysis and visualization techniques used in this study reveal that the most important economic factor is the need to purchase reused elements early in a project, which could have cash flow implications. The other most important factors are the potential financial risks, the procurement process, and the labour cost. This study unveils that the relationship between variables is not linear, and none of the identified factors could alone determine if an element is reusable or not. This study concludes that the complex interdependencies of factors affecting reuse cause a high level of uncertainty about the feasibility of reusing the load-bearing building structural components from an economic aspect. Nonetheless, this paper reveals that by using the probability theory foundations and combining it with advanced supervised machine learning methods, it is possible to develop tools that could reliably estimate the economic reusability of these elements based on affecting variables. Therefore, the authors suggest utilizing the approach developed in this research to promote the circularity of materials in different subsectors of the construction industry. (C) 2021 Institution of Chemical Engineers. Published by Elsevier B.V. All rights reserved.",JUL,2021.0,10.1016/j.spc.2021.01.031,0.0
37,J,"Dunic, V; Busarac, N; Slavkovic, V; Rosic, B; Niekamp, R; Matthies, H; Slavkovic, R; Zivkovic, M",A thermo-mechanically coupled finite strain model considering inelastic heat generation,Article,Thermo-mechanical coupling; Large strain plasticity; Partitioned approach; Component template library; Finite element method,FORMULATION,"The procedure for reuse of finite element method (FEM) programs for heat transfer and structure analysis to solve advanced thermo-mechanical problems is presented as powerful algorithm applicable for coupling of other physical fields (magnetic, fluid flow, etc.). In this case, nonlinear Block-Gauss-Seidel partitioned algorithm strongly couples the heat transfer and structural FEM programs by a component-based software engineering. Component template library provides possibility to exchange the data between the components which solve the corresponding subproblems. The structural component evaluates the dissipative energy induced by inelastic strain. The heat transfer component computes the temperature change due to the dissipation. The convergence is guaranteed by posing the global convergence criterion on the previously locally converged coupled variables. This enables reuse of software and allows the numerical simulation of thermo-sensitive problems.",JUL,2016.0,10.1007/s00161-015-0442-5,0.0
4,J,"Nijgh, MP; Veljkovic, M",An optimisation strategy for the (in- and out-of-plane) resistance of steel beams in demountable composite floor systems,Article,Sustainability; Demountable composite floor system; Critical bending moment; Lateral-torsional buckling; Design optimisation,THIN-WALLED-BEAMS; I-BEAMS; SHEAR; BEHAVIOR; DESIGN,"Demountable and reusable composite floor systems enable the decoupling between the use of construction materials and economic activity, and hereby contribute to the sustainability of the built environment. Efficient material use through optimised cross-section design reduces construction material demand. Demountable steel-concrete composite floor systems are perceived as competitive when consisting of steel beams and large prefabricated concrete floor elements, with composite interaction achieved by demountable shear connectors. Compared to traditional monolithic floor systems, the demountable composite floor systems have an increased sensitivity to lateral-torsional buckling during execution, mostly because of unsymmetrical loading and the absence of rotational constraints in the execution phase. This increased sensitivity implies that the cross-section of the steel beam should not only be designed based on the required in-plane resistance, but should also maximise the out-of-plane resistance. The Energy method and Rayleigh-Ritz methods are combined to develop a prediction model for the critical bending moment of monosymmetrical web-tapered steel beams. The key cross-sectional dimensions and parameters that affect the in-plane and out-of-plane resistance are identified. An overarching strategy for the concurrent optimisation of the in-plane and out-of-plane resistance of monosymmetrical cross-sections is presented without compromising on material efficiency. The beneficial effects of the proposed optimisation strategy are quantified through a case study example.",APR,2020.0,10.1016/j.istruc.2020.01.049,0.0
48,J,"Khripunov, V",Argon generation in fusion reactor materials,Article; Proceedings Paper,Fusion power plant; Material activation; Radioactive materials multiple reuse; Rare gases; Argon-39,,"Different candidate plasma facing materials (as tungsten, beryllium), the low activation structure materials (as vanadium alloys, silicon carbides), liquid breeders (lithium and lithium-lead) and some others have been suggested for future fusion power reactor cores as corresponding to maintenance, recycling and for waste disposal acceptance after 50 and 100 years of cooling. It is shown by the neutron activation analysis that a relatively short-lived Ar-41 (T-1/2=1.85 h), Ar-37 (T-1/2=35 days) and rather long lived Ar-39 (T-1/2=269 yr) may appear in these materials under the fusion neutron irradiation conditions. While argon production is essentially less than helium production in irradiated materials, at other times its impact, e.g., in the inhalation dose, becomes significant. In some cases the Ar-39 activity is comparable or even exceeds the C-14 activity and may become apparent after tritium removal from plasma exhaust and dust, from the liquid breeders, during plasma-facing and structural component recycling and waste management. The main source terms of argon-39 activity for these materials are identified and the specific production rates are evaluated relative to radiation conditions of a power or DEMO fusion reactor and to electric power production. (C) 2015 Elsevier B.V. All rights reserved.",OCT,2015.0,10.1016/j.fusengdes.2015.02.058,0.0
39,J,"Ohno, O; Furuhata, Y; Komuro, H; Imajo, T; Komiya, S",Automated software development based on composition of categorized reusable components - Construction and sufficiency of skeletons for batch programs,Article,program skeleton; automation; productivity; software reuse; components,,"In this paper the authors discuss approaches to the automation of software development in use during the past 20 years for trunk business systems, in particular categorized reusable components, the center of this method's technology. First an outline of the software in question, the development environments, and approaches to automation is given. With respect to the major automation methods, the structure of methods for categorized reusable components, a structural element, and the design of skeletons for batch programming are described. This approach uses (1) input and output component groups, (2) program skeleton groups, and (3) data processing groups for which detailed processes have been turned into components, all in a mutually independent fashion as categorized reusable components for the software to be generated. Then these components are adjusted and a program is generated by combining them together using tools. By making the components independent in this fashion, this approach has the capacity to create X*Y*Z structures overall even with only X, Y, and Z components each. In addition, the 24 skeletons developed during this research are demonstrated to cover 900 of large-scale trunk systems, and the top 10 skeletons over 700. (C) 2002 Wiley Periodicals, Inc.",,2002.0,10.1002/ecjb.10057,0.0
41,J,"Jeong, W; Chang, S; Son, J; Yi, JS",BIM-Integrated Construction Operation Simulation for Just-In-Time Production Management,Article,productivity dynamics; building information modeling; computer simulation; Just-In-Time; lean construction; data reuse,METHODOLOGY,"Traditional construction planning, which depends on historical data and heuristic modification, prevents the integration of managerial details such as productivity dynamics. Specifically, the distance between planning and execution brings cost overruns and duration extensions. To minimize variations, this research presents a Building Information Modeling (BIM)-integrated simulation framework for predicting productivity dynamics at the construction planning phase. To develop this framework, we examined critical factors affecting productivity at the operational level, and then forecast the productivity dynamics. The resulting plan includes specific commands for retrieving the required information from BIM and executing operation simulations. It consists of the following steps: (1) preparing a BIM model to produce input data; (2) composing a construction simulation at the operational level; and (3) obtaining productivity dynamics from the BIM-integrated simulation. To validate our framework, we applied it to a structural steel model; this was due to the significance of steel erections. By integrating BIM with construction operation simulations, we were able to create reliable construction plans that adapted to project changes. Our results show that the developed framework facilitates the reliable prediction of productivity dynamics, and can contribute to improved schedule reliability, optimized resource allocation, cost savings associated with buffers, and reduced material waste.",NOV,2016.0,10.3390/su8111106,0.0
12,C,"Thomas, M; Maschke, K; Bast, WD",Back to the Future: Renovation of a 1930s Apartment Building into an Art Gallery,Proceedings Paper,,,"Sometimes the familiar solution just does not cut it. This was the case in the design of a new art gallery constructed within the footprint of an existing 1930s apartment building for which Thornton Tomasetti (TT) performed structural engineering services. Zoning restrictions necessitated preservation of the existing exterior masonry walls. A steel skeleton was constructed within the building for bracing before removing the existing floors, and the steel was repurposed in the final composite steel/concrete frame system. Fully encased composite steel beams and columns, and concrete pan joists, were deemed best suited for the high design loads (as much as 300 psf), staged construction, and minimal structural floor depths. Thermally broken connections between the new interior framing and existing walls were required by the owner to optimize building performance. Additional structural innovations included the implementation of push piles to support the existing wall, the excavation of a new basement four feet beneath the existing foundations, a 10-foot thermally broken cantilever at the roof level, and the conversion of a portion of the building into a 40-foot high atrium. This paper will explore creative solutions and successful collaboration in demonstrating a successful model for combining structural system reuse, high performance structural design and detailing, and avant-garde architecture in one building.",,2015.0,,
0,J,"Li, DX; Uy, B; Mo, J; Thai, HT",Behaviour and design of bolted endplate joints between composite walls and steel beams,Article,composite walls; design methods; endplate bolted joints; numerical modelling; steel beams,SEISMIC BEHAVIOR; STUB COLUMNS; CONCRETE; STRENGTH; SHEAR; PERFORMANCE; COMPRESSION; CONNECTIONS; SQUARE,"This paper presents a finite element model for predicting the monotonic behaviour of bolted endplate joints connecting steel-concrete composite walls and steel beams. The demountable Hollo-bolts are utilised to facilitate the quick installation and dismantling for replacement and reuse. In the developed model, material and geometric nonlinearities were included. The accuracy of the developed model was assessed by comparing the numerical results with previous experimental tests on hollow/composite column-to-steel beam joints that incorporated endplates and Hollo-bolts. In particular, the Hollo-bolts were modelled with the expanded sleeves involved, and different material properties of the Hollo-bolt shank and sleeves were considered based on the information provided by the manufacture. The developed models, therefore, can be applied in the present study to simulate the wall-to-beam joints with similar structural components and characteristics. Based on the validated model, the authors herein compared the behaviour of wall-to-beam joints of two commonly utilised composite walling systems (Case 1: flat steel plates with headed studs; Case 2: lipped channel section with partition plates). Considering the ease of manufacturing, onsite erection and the pertinent costs, composite walling system with flat steel plates and conventional headed studs (Case 1) was the focus of present study. Specifically, additional headed studs were pre-welded inside the front wall plates to enhance the joint performance. On this basis, a series of parametric studies were conducted to assess the influences of five design parameters on the behaviour of bolted endplate wall-to-beam joints. The initial stiffness, plastic moment capacity, as well as the rotational capacity of the composite wall-to-beam joints based on the numerical analysis were further compared with the current design provision.",JUL 10,2022.0,10.12989/scs.2022.44.1.033,0.0
9,C,"Lam, D; Dai, XH; Saveri, E",Behaviour of Demountable Shear Connectors in Steel-Concrete Composite Beams,Proceedings Paper,,,"The construction industry in Europe consumes over 70,000 million tonnes of a wide range of materials each year, and generates over 250 million tonnes of constructional waste. Much of the environmental impact of buildings is associated with consumption of resources and generation of waste, therefore reducing waste in construction is becoming a top priority for all the European Governments. Composite structures formed by connecting the concrete slabs to the supporting steel beams have been widely used for many years throughout the world, this cost-effective arrangement for floor system in multi-storey steel frame building structures is responsible for a considerable increase in the load-bearing capacity and stiffness of the steel beams, which has resulted in significant savings in steel weight and construction cost. However, shear connectors are welded through the steel decking and cast into the concrete; this made deconstruction and reuse of the steel components almost impossible. A demountable shear connector is developed to assess its potential and suitability in term of replacing the welded through headed shear studs. Test results shown that these shear connectors can be easily demounted both at working and ultimate load and have a similar capacity to the traditional welded shear connectors. In addition, the new demountable shear connectors process high ductility in comparison with the welded shear connectors and have similar behaviour to the traditional welded headed stud shear connectors. A fnite element is developed to carry out parametric study for this form of shear connector.",,2016.0,,
