"Social Factors"
"Architectural Factors"
"Aesthetic Factors"
"Market / Economic Factors"
"Process-oriented Factors"
"Higher-Level / Meta-Factors"
"Logistical Factors"
"Locational Factors"
"Temporal Factors"
"Physical Factors"
"Technical Factors"
"Mechanical Factors"
"Describing / Condition Factors"
"Quality Factors"
"Quantity Factors"
"Ecological Factors (CO2, Energy)"
"Chemical Factors"
"Specification Factors"
"Material Property Factors"
"Ecological Factors (Pollutants, Health)"
"Deconstructability Factors"
