,Authors,Article Title,Document Type,Author Keywords,Abstract,DOI,DOI Link
7,"Bertin, I; Mesnil, R; Jaeger, JM; Feraille, A; Le Roy, R",A BIM-Based Framework and Databank for Reusing Load-Bearing Structural Elements,Article,,"In a context of intense environmental pressure where the construction sector has the greatest impact on several indicators, the reuse of load-bearing elements is the most promising by avoiding the production of waste, preserving natural resources and reducing greenhouse gas emissions by decreasing embodied energy. This study proposes a methodology based on a chain of tools to enable structural engineers to anticipate future reuse. This methodology describes the design of reversible assemblies, the addition of complementary information in the building information modeling (BIM), reinforced traceability, and the development of a material bank. At the same time, controlling the environmental impacts of reuse is planned by carrying out a life cycle assessment (LCA) at all stages of the project. Two scenarios for reuse design are applied with the toolchain proposed. A. design from a stock scenario, which leads to 100% of elements being reused, using only elements from stock. B. design with a stock scenario, which seeks to integrate as many reused elements available in the stock as possible. The case study of a high-rise building deconstructed to rebuild a medium-rise building demonstrated that the developed toolchain allowed the inclusion of all reuse elements in a new structural calculation model.",10.3390/su12083147,0.0
88,"Wang, JQ; Niu, WT; Ma, Y; Xue, LJ; Cun, HY; Nie, YX; Zhang, DW",A CAD/CAE-integrated structural design framework for machine tools,Article,,"In this paper, a novel integrated framework for design and optimization of a machine tool structure is presented, which can greatly improve the design quality and efficiency by combining knowledge-based design and multi-stage optimization with the CAD/CAE integration technique. To realize this framework, a topology architecture model has been developed to integrate the configuration design and geometric modeling knowledge as well as the static and dynamic evaluation knowledge of machine tools with a specific topology architecture type; an analysis feature model is proposed for the integration between commercial CAD and CAE software, in which analysis features can be automatically converted to a script code for finite element analysis (FEA) through feature mapping. Based on the topology architecture model and feature-based CAD/CAE integration methodology, a two-stage design optimization process is proposed to perform the conceptual structural design of machine tools. In the first stage, the principal parameters which critically affect the performance of an entire machine are determined; then, the static and dynamic stiffness matching designs are performed to obtain the reasonable stiffness and weight of each structural part and functional component based on the stiffness model and dynamic model. In the second stage, the arrangement of ribs is determined by inferring the design knowledge; FEA is used to evaluate the performances of structural parts, and the response surface method (RSM) is applied to optimize the structural parameters to approach the stiffness and mass close to the allocated values obtained from the first stage. Re-design of a four-axis horizontal machining center with a box-in-box architecture was carried out to illustrate the design procedure in detail and to verify the feasibility and efficacy of the proposed framework. By applying the proposed framework, the total weight of the entire machine is minimized while sufficient stiffness is maintained. The results also show that the proposed framework facilitates the conceptual structural design and optimization process of machine tools.",10.1007/s00170-016-9721-y,0.0
167,"Jiang, XY; Wang, S; Wang, J; Lyu, SN; Skitmore, M",A Decision Method for Construction Safety Risk Management Based on Ontology and Improved CBR: Example of a Subway Project,Article,,"Early decision-making and the prevention of construction safety risks are very important for the safety, quality, and cost of construction projects. In the field of construction safety risk management, in the face of a loose, chaotic, and huge information environments, how to design an efficient construction safety risk management decision support method has long been the focus of academic research. An effective approach to safety management is to structuralize safety risk knowledge, then identify and reuse it, and establish a scientific and systematic construction safety risk management decision system. Based on ontology and improved case-based reasoning (CBR) methods, this paper proposes a decision-making approach for construction safety risk management in which the reasoning process is improved by integrating a similarity algorithm and correlation algorithm. Compared to the traditional CBR approach in which only the similarity of information is considered, this method can avoid missing important correlated information by making inferences from multiple sources of information. Finally, the method is applied to the safety risks of subway construction for verification to show that the method is effective and easy to implement.",10.3390/ijerph17113928,0.0
65,"Chai, Q; Li, HM; Tian, W; Zhang, Y; Wang, L",A Framework for Assessing the Performance of Adaptively Reused Buildings from Users' Perspective: A Case Study of School Building,Article,,"The positive relationship between building performance and users' satisfaction and behavior in new buildings has been widely studied. However, in the context of adaptively reused buildings converted from historic buildings, how each performance aspect affects users' perception is missing. To explore the design concerns needed to be considered related to the performance of adaptively reused buildings from user's perspective, this paper proposed a framework to examine the effect of performance of adaptively reused buildings on users' satisfaction and behavior using structural equation modeling. A total of 608 valid face-toface interview questionnaires were collected at a school building converted from an abandoned industrial building. The empirical conclusions are as follows: (1) Building performance (including indoor environment quality, interior design, building services, and authenticity) all exerted a significant positive correlation with the learning behavior of students, among which indoor environment quality is the most critical factor affecting learning behavior of students. (2) Students' satisfaction is positively affected by the building performance (including indoor environment quality, interior design, building services, and authenticity), among which authenticity has the greatest effect on students' satisfaction. (3) The correlation between satisfaction and learning behavior of students is significant and positive. (4) Considering the mediator impact, authenticity indirectly affects learning behavior through satisfaction, while students' satisfaction has a partially mediating effect between the other three performance aspects and learning behavior. This paper provides a framework for assessing the performance of adaptively reused buildings and gives practical strategies for the improvement of users' satisfaction and behavior in similar projects.",10.1155/2022/1339133,0.0
188,"Limongelli, C; Sciarrone, F; Lombardi, M; Marani, A; Temperini, M",A Framework for Comparing Concept Maps,Proceedings Paper,,"Concept maps are at the base of teaching activity and they are widely used in the process of creating courses. In the perspective of reusing learning materials, we could do the same (reuse) also with concept maps. Unfortunately concepts maps are hard to compare in an educational setting, as most of the algorithms applied to this task work mainly on structural similarity, and may take into limited account pedagogical issues. In this work, we consider some measures that take into consideration both structural and didactic aspects of the concept maps, such as the prerequisite relation and the commonality of concepts, and present a framework that allows teacher to draw and/or compare her concept map with maps proposed by other teachers, in order to highlight common pedagogical aspects.",,
156,"Lombardi, M; Costantino, M",A Hierarchical Pyramid for Food Waste Based on a Social Innovation Perspective,Article,,"Food waste (FW) represents one of the greatest concerns facing mankind today; thus, the UN Agenda 2030 for Sustainable Development establishes that it must be halved by 2030. European Union legislators have taken part in this debate by publishing Directive 2018/851 to monitor the FW reduction goals, according to the waste hierarchical pyramid approach. At present, there are several proposed FW hierarchical pyramids, but these do not regard the associations between the level of waste-tackling strategies and social innovation (SI) models. Thus, the paper aims to build a hierarchical pyramid that considers, for each step of the food-supply chain and each level of the pyramid, all the FW social innovation models. A qualitative analysis of academic studies, institutional documents, and specific projects has been conducted. The results confirm the gap in the scientific literature and the lack of a systematic classification of SI activities to reduce FW. Furthermore, current SI practices are actually more focused on the human reuse of FW than on prevention, whereas SI models based on prevention might return the FWL issue to its systematic dimension. This information will help policymakers to reconsider the structural causes of FW inside the agro-food system, and not only its final consequences.",10.3390/su13094661,0.0
131,"Parece, S; Rato, V; Resende, R; Pinto, P; Stellacci, S",A Methodology to Qualitatively Select Upcycled Building Materials from Urban and Industrial Waste,Article,,"The rising concern about climate change and other challenges faced by the planet led society to look for different design solutions and approaches towards a more balanced relationship between the built and natural environment. The circular economy is an effective alternative to the linear economic model inspired by natural metabolisms and the circular use of resources. This research explores how innovative strategies can be integrated for evaluating local urban and industrial wastes into sustainable building materials. A literature review is conducted focusing on circular design strategies, re-use, recycle, and waste transformation processes. Then, a methodology for the selection of upcycled and re-used building materials is developed based on Ashby's method. A total of thirty-five types of partition walls, which include plastic, wood, paper, steel, aluminium, and agricultural wastes, are evaluated using a multi-criteria decision aid (M-MACBETH). Among these solutions, ten types of walls show high-performance thermal and sound isolation, fourteen types are effective for coating, and two exhibit structural reliability. Regardless of their functional limitations, the proposed solutions based on waste materials bear great potential within the construction industry.",10.3390/su14063430,0.0
16,"Zhang, HB; Zheng, LY; Chen, XW; Huang, HJ",A Novel Reconfigurable Assembly Jig Based on Stable Agile Joints and Adaptive Positioning-Clamping Bolts,Proceedings Paper,Reconfigurable Assembly System; Agile Joint Jig (AJJ); Agile Joint; Positioning-Clamping Bolts; Stable; Adaptive,"This paper presents a novel reconfigurable assembly jig called Agile Joint Jig (AJJ) which consists of three main parts: framework, locators and auxiliary components. This framework is not a welded one, but is bolted together using three modular construction kits which include stable agile joints, hollow steel beams and adaptive positioning-clamping bolts (PC bolts). Anti-sheering forces and self-centring provided by PC bolts are keeping the joints and beams in firm position. The modules of this AJJ can be reused to quickly configure other jigs for new products. It can significantly shorten the manufacturing cycle and guarantee the repositioning accuracy of jig A case study of AJJ has been conducted for a vertical stabilizer assembly and the results demonstrate the advantages of the new reconfigurable assembly jig (C) 2016 The Authors. Published by Elsevier B.V.",,
145,"Al-Obaidy, M; Courard, L; Attia, S",A Parametric Approach to Optimizing Building Construction Systems and Carbon Footprint: A Case Study Inspired by Circularity Principles,Article,,"There is a global call for a paradigm shift in the construction industry towards carbon neutrality, but a scant effort has been madein practice, especially concerning circularity. This paper helps bridge the gap by introducing a parametric approach to optimize sustainable construction design. The methodology was tested on a newly constructed office building, inspired by circularity principles, in Westerlo, Belgium. The methodology consists of parametric construction-typological analysis, automated through One Click LCA software (Life Cycle Assessment) and Microsoft Excel with 21 alternate designs and 630 iterations. The parametric variations involved three key performance indicators: construction system, materials' environmental impact, and materials; reuse of content. The environmental effects of both construction systems (i.e., structural system, foundation type, materials, and envelope details) and reused building materials content (i.e.,) were evaluated by the parametric analysis for four construction systems scenarios. Environmental impact analysis for timber, steel, concrete, and hybrid construction systems was conducted, following ISO 14040 and CEN/TC 350 standards. The focus of the whole life cycle assessment was mainly on carbon neutrality. Results indicate that using local biosourced materials, including timber, can remarkably reduce buildings' environmental impact. The sensitivity analysis results provide hard evidence that the construction material's weight, materials reuse potential, and construction dismantling ability are the most influential factors in carbon-neutral buildings. This paper should improve professionals' understanding of the impact of different structural systems choices and inform building designers about the circularity potential, and carbon footprint of construction technologies.",10.3390/su14063370,0.0
238,"Cheng, JC",A Web Service Framework for Measuring and Monitoring Environmental and Carbon Footprint in Construction Supply Chains,Proceedings Paper,,"There is increasing demand for the measurement and accounting of the environmental and carbon footprint produced by corporate companies. In construction processes, environmental impacts accumulate along supply chains from raw material extraction, manufacturing, distribution, installation, maintenance, to demolition and disposal. The calculation of the environmental and carbon footprint of a construction project considers not only the emissions from contractors on site, but also those from the participating members along the supply chains. However, construction supply chains are characterized by their high fragmentation. It is not an easy task to measure and collect loosely distributed footprint data among numerous supply chain members. In addition, due to the project-based temporary nature of construction supply chains, it is unlikely for project participants to work together long enough on a project to build enough trust and to share information willingly. Therefore, a flexible, secure, and scalable support system is needed to measure and manage environmental and carbon footprint data in construction supply chains. This paper presents a web service collaborative framework for measuring, monitoring, and integrating environmental and carbon footprint data in construction supply chains. Web services technology is used because its plug-and-play capability allows flexible and quick system reconfiguration, which is desirable for communication and collaboration in construction supply chains. In the framework, each process element and footprint calculation is represented and delivered as individual web service units, which can be reused and integrated over standard web service protocols. This paper also presents an illustrative example to demonstrate the implementation of the web service framework. (C) 2011 Published by Elsevier Ltd",10.1016/j.proeng.2011.07.016,0.0
